timestamp,household_load_kwh,hour,day_of_week,month,is_weekend,lag_1,lag_24,lag_168
2025-01-08 00:00:00,0.259707,0,2,1,0,0.33376700000000004,0.259707,0.259707
2025-01-08 01:00:00,0.2232475,1,2,1,0,0.259707,0.2232475,0.2232475
2025-01-08 02:00:00,0.2113615,2,2,1,0,0.2232475,0.2113615,0.2113615
2025-01-08 03:00:00,0.2094995,3,2,1,0,0.2113615,0.2094995,0.2094995
2025-01-08 04:00:00,0.2186765,4,2,1,0,0.2094995,0.2186765,0.2186765
2025-01-08 05:00:00,0.24887800000000002,5,2,1,0,0.2186765,0.24887800000000002,0.24887800000000002
2025-01-08 06:00:00,0.3218915,6,2,1,0,0.24887800000000002,0.3218915,0.3218915
2025-01-08 07:00:00,0.3499685,7,2,1,0,0.3218915,0.3499685,0.3499685
2025-01-08 08:00:00,0.329021,8,2,1,0,0.3499685,0.329021,0.329021
2025-01-08 09:00:00,0.31773,9,2,1,0,0.329021,0.31773,0.31773
2025-01-08 10:00:00,0.320712,10,2,1,0,0.31773,0.320712,0.320712
2025-01-08 11:00:00,0.35174300000000003,11,2,1,0,0.320712,0.35174300000000003,0.35174300000000003
2025-01-08 12:00:00,0.36739849999999996,12,2,1,0,0.35174300000000003,0.36739849999999996,0.36739849999999996
2025-01-08 13:00:00,0.36420650000000004,13,2,1,0,0.36739849999999996,0.36420650000000004,0.36420650000000004
2025-01-08 14:00:00,0.3556595,14,2,1,0,0.36420650000000004,0.3556595,0.3556595
2025-01-08 15:00:00,0.3674405,15,2,1,0,0.3556595,0.3674405,0.3674405
2025-01-08 16:00:00,0.419748,16,2,1,0,0.3674405,0.419748,0.419748
2025-01-08 17:00:00,0.5244015,17,2,1,0,0.419748,0.5244015,0.5244015
2025-01-08 18:00:00,0.58289,18,2,1,0,0.5244015,0.58289,0.58289
2025-01-08 19:00:00,0.5771115,19,2,1,0,0.58289,0.5771115,0.5771115
2025-01-08 20:00:00,0.5266135,20,2,1,0,0.5771115,0.5266135,0.5266135
2025-01-08 21:00:00,0.4701515,21,2,1,0,0.5266135,0.4701515,0.4701515
2025-01-08 22:00:00,0.415751,22,2,1,0,0.4701515,0.415751,0.415751
2025-01-08 23:00:00,0.33376700000000004,23,2,1,0,0.415751,0.33376700000000004,0.33376700000000004
2025-01-09 00:00:00,0.259707,0,3,1,0,0.33376700000000004,0.259707,0.259707
2025-01-09 01:00:00,0.2232475,1,3,1,0,0.259707,0.2232475,0.2232475
2025-01-09 02:00:00,0.2113615,2,3,1,0,0.2232475,0.2113615,0.2113615
2025-01-09 03:00:00,0.2094995,3,3,1,0,0.2113615,0.2094995,0.2094995
2025-01-09 04:00:00,0.2186765,4,3,1,0,0.2094995,0.2186765,0.2186765
2025-01-09 05:00:00,0.24887800000000002,5,3,1,0,0.2186765,0.24887800000000002,0.24887800000000002
2025-01-09 06:00:00,0.3218915,6,3,1,0,0.24887800000000002,0.3218915,0.3218915
2025-01-09 07:00:00,0.3499685,7,3,1,0,0.3218915,0.3499685,0.3499685
2025-01-09 08:00:00,0.329021,8,3,1,0,0.3499685,0.329021,0.329021
2025-01-09 09:00:00,0.31773,9,3,1,0,0.329021,0.31773,0.31773
2025-01-09 10:00:00,0.320712,10,3,1,0,0.31773,0.320712,0.320712
2025-01-09 11:00:00,0.35174300000000003,11,3,1,0,0.320712,0.35174300000000003,0.35174300000000003
2025-01-09 12:00:00,0.36739849999999996,12,3,1,0,0.35174300000000003,0.36739849999999996,0.36739849999999996
2025-01-09 13:00:00,0.36420650000000004,13,3,1,0,0.36739849999999996,0.36420650000000004,0.36420650000000004
2025-01-09 14:00:00,0.3556595,14,3,1,0,0.36420650000000004,0.3556595,0.3556595
2025-01-09 15:00:00,0.3674405,15,3,1,0,0.3556595,0.3674405,0.3674405
2025-01-09 16:00:00,0.419748,16,3,1,0,0.3674405,0.419748,0.419748
2025-01-09 17:00:00,0.5244015,17,3,1,0,0.419748,0.5244015,0.5244015
2025-01-09 18:00:00,0.58289,18,3,1,0,0.5244015,0.58289,0.58289
2025-01-09 19:00:00,0.5771115,19,3,1,0,0.58289,0.5771115,0.5771115
2025-01-09 20:00:00,0.5266135,20,3,1,0,0.5771115,0.5266135,0.5266135
2025-01-09 21:00:00,0.4701515,21,3,1,0,0.5266135,0.4701515,0.4701515
2025-01-09 22:00:00,0.415751,22,3,1,0,0.4701515,0.415751,0.415751
